topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"0, bornholm, energi, ship, also",11,111,0.099
0,"11, bornholm, wind, offshor, energi",4,111,0.036
0,"12, busi, bornholm, compani, labor",8,111,0.072
0,"14, wind, offshor, island, energi",9,111,0.081
0,"16, energi, state, project, bornholm",15,111,0.135
0,"19, bornholm, busi, municip, energi",1,111,0.009
0,"2, energinet, plant, area, station",4,111,0.036
0,"21, price, billion, electr, energi",2,111,0.018
0,"3, energi, renew, sustain, island",1,111,0.009
0,"33, bornholm, tunnel, car, energi",1,111,0.009
0,"34, sea, wind, offshor, bornholm",4,111,0.036
0,"4, energi, bornholm, wind, sea",26,111,0.234
0,"41, error, wind, end, turbin",2,111,0.018
0,"46, billion, project, energi, eu",1,111,0.009
0,"5, island, energi, platform, wind",19,111,0.171
0,"8, bornholm, year, energi, municip",1,111,0.009
0,Noise,2,111,0.018
1,"13, grid, offshor, wind, transmiss",32,153,0.209
1,"14, wind, offshor, island, energi",1,153,0.007
1,"15, grid, voltag, control, hvdc",2,153,0.013
1,"17, control, grid, hvdc, ac",2,153,0.013
1,"22, grid, offshor, integr, scenario",22,153,0.144
1,"26, system, vschvdc, control, frequenc",2,153,0.013
1,"27, energi, scenario, renew, system",1,153,0.007
1,"28, grid, offshor, transmiss, farm",8,153,0.052
1,"29, grid, offshor, power, wind",18,153,0.118
1,"3, energi, renew, sustain, island",1,153,0.007
1,"31, grid, offshor, wind, power",18,153,0.118
1,"35, dc, grid, hvdc, convert",1,153,0.007
1,"36, jacob, plant, municip, materi",1,153,0.007
1,"4, energi, bornholm, wind, sea",1,153,0.007
1,"40, green, bornholm, energi, say",1,153,0.007
1,"43, power, grid, reactiv, optim",4,153,0.026
1,"6, control, grid, convert, hvdc",1,153,0.007
1,"9, wave, grid, offshor, model",27,153,0.176
1,Noise,10,153,0.065
2,"0, bornholm, energi, ship, also",7,123,0.057
2,"1, social, municip, democraci, say",6,123,0.049
2,"10, green, bornholm, energi, also",10,123,0.081
2,"11, bornholm, wind, offshor, energi",4,123,0.033
2,"12, busi, bornholm, compani, labor",1,123,0.008
2,"14, wind, offshor, island, energi",3,123,0.024
2,"18, neighbor, land, materi, plant",12,123,0.098
2,"19, bornholm, busi, municip, energi",3,123,0.024
2,"2, energinet, plant, area, station",2,123,0.016
2,"20, energi, price, project, bornholm",1,123,0.008
2,"23, co2, municip, say, council",5,123,0.041
2,"25, municip, also, schow, say",3,123,0.024
2,"27, energi, scenario, renew, system",1,123,0.008
2,"30, bornholm, say, energi, plan",4,123,0.033
2,"32, bornholm, dn, dream, year",2,123,0.016
2,"33, bornholm, tunnel, car, energi",2,123,0.016
2,"34, sea, wind, offshor, bornholm",3,123,0.024
2,"36, jacob, plant, municip, materi",4,123,0.033
2,"38, said, co2, park, nuclear",3,123,0.024
2,"4, energi, bornholm, wind, sea",6,123,0.049
2,"40, green, bornholm, energi, say",3,123,0.024
2,"44, cool, municip, bornholm, new",3,123,0.024
2,"5, island, energi, platform, wind",11,123,0.089
2,"7, municip, climat, bornholm, say",10,123,0.081
2,"8, bornholm, year, energi, municip",5,123,0.041
2,"9, wave, grid, offshor, model",6,123,0.049
2,Noise,3,123,0.024
3,"0, bornholm, energi, ship, also",2,145,0.014
3,"1, social, municip, democraci, say",17,145,0.117
3,"10, green, bornholm, energi, also",16,145,0.11
3,"11, bornholm, wind, offshor, energi",1,145,0.007
3,"14, wind, offshor, island, energi",2,145,0.014
3,"18, neighbor, land, materi, plant",2,145,0.014
3,"19, bornholm, busi, municip, energi",8,145,0.055
3,"2, energinet, plant, area, station",11,145,0.076
3,"20, energi, price, project, bornholm",3,145,0.021
3,"23, co2, municip, say, council",7,145,0.048
3,"25, municip, also, schow, say",10,145,0.069
3,"30, bornholm, say, energi, plan",6,145,0.041
3,"32, bornholm, dn, dream, year",6,145,0.041
3,"33, bornholm, tunnel, car, energi",1,145,0.007
3,"36, jacob, plant, municip, materi",2,145,0.014
3,"38, said, co2, park, nuclear",8,145,0.055
3,"40, green, bornholm, energi, say",8,145,0.055
3,"44, cool, municip, bornholm, new",2,145,0.014
3,"5, island, energi, platform, wind",1,145,0.007
3,"7, municip, climat, bornholm, say",14,145,0.097
3,"8, bornholm, year, energi, municip",15,145,0.103
3,Noise,3,145,0.021
4,"0, bornholm, energi, ship, also",18,108,0.167
4,"1, social, municip, democraci, say",3,108,0.028
4,"10, green, bornholm, energi, also",1,108,0.009
4,"11, bornholm, wind, offshor, energi",14,108,0.13
4,"12, busi, bornholm, compani, labor",10,108,0.093
4,"14, wind, offshor, island, energi",11,108,0.102
4,"16, energi, state, project, bornholm",2,108,0.019
4,"18, neighbor, land, materi, plant",1,108,0.009
4,"19, bornholm, busi, municip, energi",3,108,0.028
4,"2, energinet, plant, area, station",1,108,0.009
4,"20, energi, price, project, bornholm",3,108,0.028
4,"23, co2, municip, say, council",1,108,0.009
4,"32, bornholm, dn, dream, year",2,108,0.019
4,"33, bornholm, tunnel, car, energi",6,108,0.056
4,"34, sea, wind, offshor, bornholm",8,108,0.074
4,"36, jacob, plant, municip, materi",1,108,0.009
4,"38, said, co2, park, nuclear",1,108,0.009
4,"41, error, wind, end, turbin",3,108,0.028
4,"44, cool, municip, bornholm, new",1,108,0.009
4,"5, island, energi, platform, wind",5,108,0.046
4,"7, municip, climat, bornholm, say",1,108,0.009
4,"8, bornholm, year, energi, municip",1,108,0.009
4,"9, wave, grid, offshor, model",1,108,0.009
4,Noise,10,108,0.093
5,"15, grid, voltag, control, hvdc",26,176,0.148
5,"17, control, grid, hvdc, ac",25,176,0.142
5,"26, system, vschvdc, control, frequenc",17,176,0.097
5,"28, grid, offshor, transmiss, farm",10,176,0.057
5,"35, dc, grid, hvdc, convert",15,176,0.085
5,"42, control, convert, hvdc, stabil",16,176,0.091
5,"43, power, grid, reactiv, optim",12,176,0.068
5,"45, microgrid, smart, model, oper",1,176,0.006
5,"6, control, grid, convert, hvdc",42,176,0.239
5,Noise,12,176,0.068
6,"0, bornholm, energi, ship, also",14,117,0.12
6,"1, social, municip, democraci, say",6,117,0.051
6,"10, green, bornholm, energi, also",2,117,0.017
6,"11, bornholm, wind, offshor, energi",6,117,0.051
6,"12, busi, bornholm, compani, labor",11,117,0.094
6,"14, wind, offshor, island, energi",3,117,0.026
6,"18, neighbor, land, materi, plant",6,117,0.051
6,"19, bornholm, busi, municip, energi",9,117,0.077
6,"2, energinet, plant, area, station",3,117,0.026
6,"20, energi, price, project, bornholm",1,117,0.009
6,"30, bornholm, say, energi, plan",3,117,0.026
6,"32, bornholm, dn, dream, year",6,117,0.051
6,"33, bornholm, tunnel, car, energi",4,117,0.034
6,"34, sea, wind, offshor, bornholm",1,117,0.009
6,"36, jacob, plant, municip, materi",4,117,0.034
6,"40, green, bornholm, energi, say",3,117,0.026
6,"41, error, wind, end, turbin",3,117,0.026
6,"44, cool, municip, bornholm, new",6,117,0.051
6,"5, island, energi, platform, wind",1,117,0.009
6,"7, municip, climat, bornholm, say",5,117,0.043
6,"8, bornholm, year, energi, municip",15,117,0.128
6,Noise,5,117,0.043
7,"0, bornholm, energi, ship, also",2,187,0.011
7,"1, social, municip, democraci, say",3,187,0.016
7,"10, green, bornholm, energi, also",1,187,0.005
7,"12, busi, bornholm, compani, labor",1,187,0.005
7,"15, grid, voltag, control, hvdc",2,187,0.011
7,"16, energi, state, project, bornholm",2,187,0.011
7,"17, control, grid, hvdc, ac",1,187,0.005
7,"19, bornholm, busi, municip, energi",1,187,0.005
7,"2, energinet, plant, area, station",4,187,0.021
7,"21, price, billion, electr, energi",1,187,0.005
7,"24, system, energi, optim, oper",21,187,0.112
7,"27, energi, scenario, renew, system",17,187,0.091
7,"28, grid, offshor, transmiss, farm",1,187,0.005
7,"29, grid, offshor, power, wind",1,187,0.005
7,"3, energi, renew, sustain, island",49,187,0.262
7,"30, bornholm, say, energi, plan",2,187,0.011
7,"33, bornholm, tunnel, car, energi",1,187,0.005
7,"35, dc, grid, hvdc, convert",1,187,0.005
7,"37, emiss, renew, system, carbon",17,187,0.091
7,"39, sourc, system, microgrid, energi",16,187,0.086
7,"41, error, wind, end, turbin",1,187,0.005
7,"44, cool, municip, bornholm, new",1,187,0.005
7,"45, microgrid, smart, model, oper",14,187,0.075
7,"6, control, grid, convert, hvdc",1,187,0.005
7,"7, municip, climat, bornholm, say",1,187,0.005
7,"8, bornholm, year, energi, municip",2,187,0.011
7,"9, wave, grid, offshor, model",2,187,0.011
7,Noise,21,187,0.112
8,"0, bornholm, energi, ship, also",15,130,0.115
8,"1, social, municip, democraci, say",1,130,0.008
8,"11, bornholm, wind, offshor, energi",6,130,0.046
8,"12, busi, bornholm, compani, labor",3,130,0.023
8,"14, wind, offshor, island, energi",2,130,0.015
8,"16, energi, state, project, bornholm",10,130,0.077
8,"20, energi, price, project, bornholm",17,130,0.131
8,"21, price, billion, electr, energi",20,130,0.154
8,"32, bornholm, dn, dream, year",1,130,0.008
8,"33, bornholm, tunnel, car, energi",2,130,0.015
8,"34, sea, wind, offshor, bornholm",2,130,0.015
8,"4, energi, bornholm, wind, sea",15,130,0.115
8,"41, error, wind, end, turbin",7,130,0.054
8,"44, cool, municip, bornholm, new",1,130,0.008
8,"46, billion, project, energi, eu",14,130,0.108
8,"5, island, energi, platform, wind",9,130,0.069
8,"7, municip, climat, bornholm, say",1,130,0.008
8,"8, bornholm, year, energi, municip",2,130,0.015
8,Noise,2,130,0.015
9,"0, bornholm, energi, ship, also",2,117,0.017
9,"1, social, municip, democraci, say",22,117,0.188
9,"10, green, bornholm, energi, also",6,117,0.051
9,"18, neighbor, land, materi, plant",7,117,0.06
9,"19, bornholm, busi, municip, energi",2,117,0.017
9,"2, energinet, plant, area, station",30,117,0.256
9,"20, energi, price, project, bornholm",1,117,0.009
9,"23, co2, municip, say, council",9,117,0.077
9,"25, municip, also, schow, say",7,117,0.06
9,"30, bornholm, say, energi, plan",4,117,0.034
9,"32, bornholm, dn, dream, year",1,117,0.009
9,"33, bornholm, tunnel, car, energi",1,117,0.009
9,"36, jacob, plant, municip, materi",5,117,0.043
9,"38, said, co2, park, nuclear",4,117,0.034
9,"40, green, bornholm, energi, say",1,117,0.009
9,"44, cool, municip, bornholm, new",1,117,0.009
9,"7, municip, climat, bornholm, say",11,117,0.094
9,"8, bornholm, year, energi, municip",1,117,0.009
9,Noise,2,117,0.017
